pseudo_smiles
O[Cal]
[Nar]
[R]O[R]
[R]N([R])[R]
O=C(O)[R]
C=C
F[R]
O[Car]
Cl[R]
[R]N[R]
OC=N[R]
N[Cal]
[R]OCO[R]
N[Car]
O=C([R])N([R])[R]
[R]N=[Car]
O=C([R])[R]
O=C([R])O[R]
O=[Car]
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C
O=S(=O)([R])N([R])[R]
[Sar]
O=C([R])C=CC(=O)[R]
OC(=N[R])O[R]
[R]I
[Oar]
C=CC(=O)[R]
C#N
OC(=N[R])N([R])[R]
O=C(C(=O)N([R])[R])C(O)O[R]
C#C
C=CC=CC=CC=CC=CC(=O)O
C=CC=CC=C
[R]OCOCO[R]
[R]S[R]
C=CC=C
[R]N=C(N([R])[R])N([R])[R]
C=C(O[R])C(=O)O
[R][N+]([R])([R])[R]
O=P(O)(O)[R]
C=COC(O[R])C(=O)[R]
C=CC(=O)C=C
[R]Br
O=C(O[R])N([R])[R]
C=CC=CC(O)=N[R]
O=C([R])C(=CO)C(O)=N[R]
C=CC=CC=CC=CC=C
O=C([R])C=CO
O=C([R])N([R])CS[R]
C=NN([R])[R]
O=C([R])[Nar]
O=S(=O)(O)[R]
O=S(=O)([R])N=CO
S[R]
C=CC(O)=N[R]
[R]OCS[R]
O=S(=O)([R])[R]
C=CC(=O)O
O=C([R])C(O)(O[R])C(O[R])O[R]
OC=NO
O=CN([R])[R]
C1CO1
C=CC(=O)N([R])[R]
O=S(=O)([R])N([R])C(O)=N[R]
O=C([R])N([R])CO[R]
[R]N=CN([R])[R]
C=NO[R]
O=[N+]([O-])[R]
[R]N=N[R]
O=C(C=CO)O[R]
O=P([O-])(O[R])OP(=O)(O)O[R]
OC=NN([R])[R]
C=CC=CC(=O)[R]
O=C([R])C=C(O)C(=O)[R]
O=C([R])N=[Car]
OC=NO[R]
C=NN([R])C(=O)[R]
C=C1C=CC(=[N+]([R])[R])C=C1
OC(C=CN([R])[R])=N[R]
O=C(C=CN([R])C=CC(=O)O[R])O[R]
O=C1C(N=CO)OC(O)N1[R]
C=CC(=O)O[R]
[R]ON([R])[R]
[N-]=[N+]=N[R]
O=C([R])S[R]
C=CC=CC(O)=NC(C(=O)[R])=C1C=NCN1[R]
O=S(=O)(O[R])N([R])[R]
[O-][Nar+]
C=CC=CC(=O)O[R]
C=COCN([R])C(=O)[R]
OB(O)[R]
O=C1[R]C(=O)N([R])N1[R]
O=P([R])([R])[R]
O=S(=O)([R])N([R])C(=CO)C(O)=N[R]
O=C([R])OCOCOCOO[R]
O=C([R])N([R])C(=O)[R]
O=P(O[R])(O[R])N([R])[R]
FC(F)(O[R])O[R]
C=CBr
OC(C=NO[R])=N[R]
