pseudo_smiles
[Nar]
O[Cal]
F[R]
[R]O[R]
[R][N+]([R])([R])[R]
O=C([R])N([R])[R]
[R]Br
[Sar]
Cl[R]
[R]N[R]
[R][N+]([R])([R])[Cal]
[R]N([R])[R]
[R]S[R]
[R]OCO[R]
N[Cal]
N[Car]
O=S(=O)([R])N([R])[R]
[Oar]
C#N
O=[Car]
O=C([R])O[R]
C=C
O=C([O-])[R]
O=C(N([R])[R])N([R])[R]
O=S(=O)([R])[R]
O=C([R])[R]
O[Car]
[R]I
[O-][Car]
[S-][R]
O=[N+]([O-])[R]
[R]N([R])N([R])[R]
O=S(=O)([R])[N-][R]
[R]N([R])C(N([R])[R])=[N+]([R])[R]
S=[Car]
O=C([R])N([R])C(=O)N([R])[R]
[R]OCOCO[R]
O=C[R]
ON=CN([R])[R]
S=C(N([R])[R])N([R])[R]
O=C([R])N([R])C(=O)[R]
C#C
[R]SCN([R])[R]
S[R]
[O-][Cal]
C=[Car]
[R][NH+]=[Car]
C=COCO[R]
C=NN([R])C(=O)[R]
C=NN([R])[R]
O=S(=O)(N([R])[R])N([R])[R]
O=C(O)[R]
O=C(C(=O)N([R])[R])N([R])[R]
[R]N([R])C=[N+]([R])[R]
O=P([O-])(O)O[R]
S=CN([R])[R]
O=S(=O)([N-][R])N([R])[R]
[R]N([R])[Nar]
[O-]C=N[R]
C=N[R]
O=C1[R]N([R])C(=O)N1[R]
N#CC=C(O[R])[N+]([R])([R])[R]
O=C([R])N([R])N([R])C(=O)[R]
C=CC(=O)N([R])[R]
[R]SC(N([R])[R])=[N+]([R])[R]
[R]N([R])[N+]([R])([R])[R]
O=S(=O)([O-])[R]
[R]OCN([R])[R]
C=C1SC(=S)N([R])C1=O
O=C([R])N([R])N([R])[R]
C=NN([R])S(=O)(=O)[R]
C=NO
O=C([R])C=CN([R])[R]
[R]N=CN([R])[R]
C=C1C(=O)N([R])C(=O)N([R])C1=O
[R]N=C(C(N([R])[R])=[N+]([R])[R])N([R])[R]
O=P(O)(O)[R]
O=C([R])N([R])C(=S)N([R])N([R])C(=O)[R]
O=C(C(=O)N([R])[R])C([O-])O[R]
C=C(C(=O)N([R])[R])N([R])C(=O)[R]
ON([R])[R]
[R]N=C(S[R])N([R])[R]
C=C(C#N)C([O-])=N[R]
C=CC=C
O=C([R])N([R])C(=S)N([R])[R]
OCO[R]
[R][N+](=[Car])C[N+]([R])=[Car]
O=C([R])N([R])N1C(=O)[R]N([R])C1=O
O[N+]([R])=CN([R])[R]
[R]SC[N+]([R])([R])[R]
C=C1N(N([R])[R])C=CC=[N+]1[R]
O=C(C=CN([R])C=CC(=O)O[R])O[R]
C=C1SC(=N[R])N=C1[O-]
O=S([R])[R]
[R][N+]([R])([R])C[N+]([R])([R])[R]
[R]SC(N([R])[R])=[N+]([R])N([R])[R]
O=C1[R][N+]([R])([R])CN1[R]
C=[NH+][R]
C=C1C(=O)N([R])C(=O)N=C1[O-]
O=S(=O)([R])N=[Car]
