Ligand_SMILES,Ligand_ID,Decoy_SMILES,Tanimoto_Similarity,Actividad
C/N=C(\c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4)/O,P10000093,CC(=O)Nc1ccc(cc1)NC(=O)c2ccc(s2)c3nc4ccccc4s3,0.08333333333333333,0
C/N=C(\c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4)/O,P10000093,c1cc(cc(c1)Cl)NC(=O)[C@H]2CCCN(C2)C(=O)NCc3cccs3,0.08433734939759036,0
C[C@@H]([C@@H]([C@H]1CNc2c(c(=O)nc([nH]2)N)N1)O)O,P10000093,c1cc(c(c2c1c([n+](n2O)[O-])N)O)N,0.0847457627118644,0
C[C@@H]([C@@H]([C@H]1CNc2c(c(=O)nc([nH]2)N)N1)O)O,P10000093,c1c2c(cc(c1O)N)n([n+](c2N)[O-])O,0.0847457627118644,0
C/N=C(\c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4)/O,P10000093,CN(CC(=O)Nc1ccc-2c(c1)Cc3c2cccc3)C(=O)c4c[nH]c5c4cccc5,0.08536585365853659,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CCc1ccc(cc1S(=O)(=O)N)NC(=O)c2ccc(cc2I)[N+](=O)[O-],0.07692307692307693,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CC1(CC2=C([C@H](c3c(nc(nc3N2)SC)N)c4ccc(c(c4OC)OC)OC)C(=O)C1)C,0.08181818181818182,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CCOC(=O)C1=C(OC(=O)[C@]12c3cc(ccc3NC(=C2C(=O)OC(C)C)N)Br)C,0.08333333333333333,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CCCCSc1[nH]c(=O)c2c(n1)NC3=C([C@H]2c4cc(c(c(c4)OC)O)OC)C(=O)CCC3,0.08771929824561403,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CC1=C([C@]2(c3cc(ccc3NC2=O)Br)C(=C(O1)N)C(=O)OC(C)C)C(=O)OCC=C,0.09174311926605505,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,c1ccc(cc1)NC(=O)c2ccccc2NC(=O)COC(=O)C[C@@H]3C(=O)Nc4ccccc4S3,0.09433962264150944,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CCOc1c(cc(cc1Br)[C@@H]2c3c(nc(nc3NC4=C2C(=O)OC4)SC)N)OC,0.09482758620689655,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,Cc1c(cco1)C(=O)NNC(=O)c2cccc(c2)S(=O)(=O)Nc3cccc(c3)C(F)(F)F,0.09523809523809523,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,C[C@H](C(=O)Nc1ccc(cc1)NC(=O)c2c(c3ccccc3[nH]2)Br)n4cncn4,0.09523809523809523,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,C[C@H](C(=O)Nc1ccc(cc1)S(=O)(=O)Nc2nccs2)NC(=O)C34CC5CC(C3)CC(C5)C4,0.102803738317757,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,c1ccc2c(c1)c(nn(c2=O)CC(=O)Nc3ccc(cc3)Oc4ccc(cc4)Br)C(=O)N,0.10784313725490197,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,c1cc(ccc1NC(=O)C(=O)NCC2CCN(CC2)C(=O)Nc3ccc(cc3)F)OC(F)(F)F,0.10891089108910891,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,C[C@@H]([C@H]1NN=C(N1CC=C)SCc2[nH]c(=O)c3ccccc3n2)NC(=O)c4ccccc4F,0.1092436974789916,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CC(C)(C)c1ccc(cc1)C(=O)NNC(=O)c2cccc(c2)S(=O)(=O)NCc3ccco3,0.11,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,C[C@H]1CCc2c(cc(s2)c3nnc(o3)S[C@@H](C)C(=O)Nc4ccc5c(c4)[nH]c(=O)[nH]5)C1,0.1111111111111111,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,c1cc(ccc1c2nnc(n2N)SCCC(=O)NCc3ccc4c(c3)OCO4)Br,0.1111111111111111,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,Cc1c(c2ccccc2[nH]1)CC(=O)NCc3c(oc(n3)c4cccc(c4)NC(=O)c5ccoc5C)C,0.11403508771929824,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,Cn1c(nnc1SCC(=O)Nc2cc3c(cc2Br)[nH]c(=O)[nH]3)Cc4cccs4,0.12037037037037036,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,Cc1ccc(cc1)n2c(nnc2SCC(=O)Nc3ccc(cc3)S(=O)(=O)N)c4cccs4,0.12149532710280374,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)\O)Cl,P10000094,CS(=O)(=O)c1cccc(c1)C(=O)Nc2ccc(cc2Cl)NC(=O)c3cc(=O)[nH]c4c3cccc4,0.12149532710280374,0
Cc1cccc(c1/N=C(/c2cnc(s2)Nc3cc([nH+]c(n3)C)N4CC[NH+](CC4)CCO)\O)Cl,P10000095,C[C@@H]1C(=N[C@@H](O1)c2ccccc2NC(=O)CC3CCCC3)CNC(=O)CCC4[NH+]=c5ccccc5=[NH+]4,0.09243697478991597,0
